subID,m_phys_J19,m_phys_L19,m_des_J19,m_des_L19,m_bel_J19,m_bel_L19,m_base_J19,m_base_L19,m_des_base_J19,m_des_base_L19,m_bel_base_J19,m_bel_base_L19,a_phys_J19,a_phys_L19,a_des_J19,a_des_L19,a_bel_J19,a_bel_L19
113_ID,-6.8439216809205e-08,-2.998025858287e-08,7.67710927899387e-08,1.26703885515123e-07,-1.54647303051787e-07,-1.3587145349448e-07,6.87442034452079e-08,5.69628093102036e-08,8.02688934473087e-09,6.97410762049199e-08,-2.23391506496995e-07,-1.92834262804684e-07,-6.85076560260142e-05,-3.00102388414529e-05,7.68478638827287e-05,0.000126830589400639,-0.000154801950354839,-0.000136007324947975
114_ASB,3.19351809771193e-08,3.76166773967163e-08,3.21425570130206e-08,4.62977146308579e-08,-2.6814171403316e-08,2.0862512738138e-08,3.03129206129581e-08,7.21536671547931e-09,1.82963640006257e-09,3.90823479153786e-08,-5.71270920162741e-08,1.36471460226587e-08,3.19671161580964e-05,3.7654294074113e-05,3.21746995700337e-05,4.63440123454888e-05,-2.68409855747193e-05,2.08833752508762e-05
115_HC,5.50914749535269e-08,-3.94016673377392e-08,3.435885225139e-08,4.43086640796281e-08,-8.06812796782318e-08,-6.82504311311522e-08,-1.33129803799921e-09,-4.05481796409106e-10,3.56901502893892e-08,4.47141458760372e-08,-7.93499816402325e-08,-6.78449493347431e-08,5.51465664284804e-05,-3.9441069005077e-05,3.43932111036414e-05,4.43529727437078e-05,-8.076196095791e-05,-6.83186815622834e-05
118_ZT,4.01736806501097e-08,1.55490680806806e-08,8.80977191621795e-09,-2.74972846292497e-09,6.01324085269524e-08,-2.43814213280169e-08,-1.56770533544888e-08,1.30943855949891e-08,2.44868252707068e-08,-1.58441140579141e-08,7.58094618814412e-08,-3.74758069230061e-08,4.02138543307598e-05,1.55646171487612e-05,8.81858168813417e-06,-2.75247819138789e-06,6.01925409354793e-05,-2.44058027493449e-05
119_GM,-2.08228456218026e-08,1.50446694717054e-08,-1.90854600021799e-08,9.61603766914775e-09,2.49331957063644e-08,2.8976471994261e-08,3.33471012611629e-08,-1.01914322170846e-09,-5.24325612633428e-08,1.06351808908562e-08,-8.41390555479856e-09,2.99956152159694e-08,-2.08436684674244e-05,1.50597141411771e-05,-1.91045454621821e-05,9.62565370681689e-06,2.49581289020707e-05,2.90054484662552e-05
120_PB,2.43938979697711e-08,-6.04337480700996e-08,3.14469035121466e-07,2.34173699116472e-07,5.13119036570956e-08,-1.25060641682682e-08,7.56749682652731e-09,2.1509331348102e-09,3.06901538294939e-07,2.32022765981662e-07,4.37444068305683e-08,-1.46569973030784e-08,2.44182918677409e-05,-6.04941818181697e-05,0.000314783504156588,0.000234407872815589,5.13632155607527e-05,-1.25185702324365e-05
121_MT,-8.89842280529304e-08,1.32113166735612e-07,-4.52960640776977e-08,-4.78186826846494e-08,1.03075471894923e-08,2.00833193875207e-08,-4.50839695013081e-08,-1.03982596601403e-08,-2.12094576389661e-10,-3.7420423024509e-08,5.53915166908004e-08,3.0481579047661e-08,-8.90732122809833e-05,0.000132245279902347,-4.53413601417754e-05,-4.7866501367334e-05,1.03178547366818e-05,2.01034027069082e-05
122_KD,5.53914785532438e-08,-7.54520002110455e-09,-3.16346127420057e-08,-7.34807438523325e-09,-2.77470627683194e-08,-1.76403082846457e-08,1.44168670079587e-10,1.54298718168525e-08,-3.17787814120852e-08,-2.27779462020858e-08,-2.7891231438399e-08,-3.30701801014983e-08,5.54468700317971e-05,-7.55274522112565e-06,-3.16662473547477e-05,-7.35542245961849e-06,-2.77748098310877e-05,-1.76579485929304e-05
123_ES,3.75769723173695e-08,4.1314142811063e-08,4.57106307499305e-08,2.56263320094424e-08,-4.21487346251882e-08,-2.28304072745437e-08,3.87101077970795e-08,1.51622009003598e-08,7.000522952851e-09,1.04641311090826e-08,-8.08588424222677e-08,-3.79926081749034e-08,3.76145492896868e-05,4.13554569538741e-05,4.57563413806804e-05,2.56519583414519e-05,-4.21908833598134e-05,-2.28532376818182e-05
124_CK,3.3302027448578e-08,4.80463184761771e-08,-5.26535852977675e-09,7.34281381268663e-09,1.2929423636527e-08,4.64199360044859e-08,4.11478567617858e-08,-2.05377797174648e-09,-4.64132152915626e-08,9.39659178443311e-09,-2.82184331252588e-08,4.84737139762324e-08,3.33353294760265e-05,4.80943647946532e-05,-5.27062388830653e-06,7.35015662649932e-06,1.29423530601635e-05,4.64663559404904e-05
